Match Number,Round Number,Date,Location,Home Team,Away Team,Result
117,13,27/11/2021 17:30,Allianz Arena,FC Bayern,Arminia Bielefeld,1 - 0
114,13,28/11/2021 14:30,Deutsche Bank Park,Eintracht Frankfurt,Union Berlin,2 - 1
116,13,28/11/2021 16:30,Red Bull Arena,RB Leipzig,Bayer 04 Leverkusen,1 - 3
124,14,03/12/2021 19:30,Stadion An der Alten Försterei,Union Berlin,RB Leipzig,2 - 1
118,14,04/12/2021 14:30,Schüco-Arena,Arminia Bielefeld,1. FC Köln,1 - 1
119,14,04/12/2021 14:30,WWK Arena,FC Augsburg,VfL Bochum,2 - 3
120,14,04/12/2021 14:30,Opel Arena,Mainz 05,VfL Wolfsburg,3 - 0
121,14,04/12/2021 14:30,PreZero Arena,Hoffenheim,Eintracht Frankfurt,3 - 2
125,14,04/12/2021 14:30,BayArena,Bayer 04 Leverkusen,SpVgg Greuther Fürth,7 - 1
126,14,04/12/2021 17:30,Signal Iduna Park,Borussia Dortmund,FC Bayern,2 - 3
122,14,05/12/2021 14:30,Mercedes-Benz Arena,VfB Stuttgart,Hertha BSC,2 - 2
123,14,05/12/2021 16:30,Borussia-Park,Borussia Mönchengladbach,SC Freiburg,0 - 6
129,15,10/12/2021 19:30,RheinEnergieStadion,1. FC Köln,FC Augsburg,0 - 2
128,15,11/12/2021 14:30,Vonovia Ruhrstadion,VfL Bochum,Borussia Dortmund,1 - 1
130,15,11/12/2021 14:30,Olympiastadion,Hertha BSC,Arminia Bielefeld,2 - 0
131,15,11/12/2021 14:30,SC-Stadion,SC Freiburg,Hoffenheim,1 - 2
134,15,11/12/2021 14:30,Red Bull Arena,RB Leipzig,Borussia Mönchengladbach,4 - 1
135,15,11/12/2021 14:30,Allianz Arena,FC Bayern,Mainz 05,2 - 1
133,15,11/12/2021 17:30,Volkswagen Arena,VfL Wolfsburg,VfB Stuttgart,0 - 2
127,15,12/12/2021 14:30,Sportpark Ronhof Thomas Sommer,SpVgg Greuther Fürth,Union Berlin,1 - 0
132,15,12/12/2021 16:30,Deutsche Bank Park,Eintracht Frankfurt,Bayer 04 Leverkusen,5 - 2
139,16,14/12/2021 17:30,Mercedes-Benz Arena,VfB Stuttgart,FC Bayern,0 - 5
136,16,14/12/2021 19:30,Schüco-Arena,Arminia Bielefeld,VfL Bochum,2 - 0
138,16,14/12/2021 19:30,Opel Arena,Mainz 05,Hertha BSC,4 - 0
143,16,14/12/2021 19:30,Volkswagen Arena,VfL Wolfsburg,1. FC Köln,2 - 3
