Match Number,Round Number,Date,Location,Home Team,Away Team,Result
359,36,08/05/2022 20:45,Parc des Princes,Paris Saint-Germain,ESTAC Troyes,2 - 2
358,36,11/05/2022 19:00,Allianz Riviera,OGC Nice,AS Saint-Étienne,4 - 2
357,36,11/05/2022 21:00,Stade de la Beaujoire,FC Nantes,Stade Rennais FC,2 - 1
361,37,14/05/2022 21:00,Matmut Atlantique,Girondins de Bordeaux,FC Lorient,0 - 0
362,37,14/05/2022 21:00,Groupama Stadium,Olympique Lyonnais,FC Nantes,3 - 2
363,37,14/05/2022 21:00,Stade Saint-Symphorien,FC Metz,Angers SCO,1 - 0
364,37,14/05/2022 21:00,Stade Louis II,AS Monaco,Stade Brestois 29,4 - 2
365,37,14/05/2022 21:00,Stade de la Mosson,Montpellier Hérault SC,Paris Saint-Germain,0 - 4
366,37,14/05/2022 21:00,Allianz Riviera,OGC Nice,LOSC Lille,1 - 3
367,37,14/05/2022 21:00,Roazhon Park,Stade Rennais FC,Olympique de Marseille,2 - 0
368,37,14/05/2022 21:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Stade de Reims,1 - 2
369,37,14/05/2022 21:00,Stade de la Meinau,RC Strasbourg Alsace,Clermont Foot 63,1 - 0
370,37,14/05/2022 21:00,Stade de l'Aube,ESTAC Troyes,RC Lens,1 - 3
371,38,21/05/2022 21:00,Stade Raymond Kopa,Angers SCO,Montpellier Hérault SC,2 - 0
372,38,21/05/2022 21:00,Stade Francis-Le Blé,Stade Brestois 29,Girondins de Bordeaux,2 - 4
373,38,21/05/2022 21:00,Stade Gabriel Montpied,Clermont Foot 63,Olympique Lyonnais,1 - 2
374,38,21/05/2022 21:00,Stade Bollaert-Delelis,RC Lens,AS Monaco,2 - 2
375,38,21/05/2022 21:00,Stade Pierre-Mauroy,LOSC Lille,Stade Rennais FC,2 - 2
376,38,21/05/2022 21:00,Stade du Moustoir,FC Lorient,ESTAC Troyes,1 - 1
377,38,21/05/2022 21:00,Orange Vélodrome,Olympique de Marseille,RC Strasbourg Alsace,4 - 0
378,38,21/05/2022 21:00,Stade de la Beaujoire,FC Nantes,AS Saint-Étienne,1 - 1
379,38,21/05/2022 21:00,Parc des Princes,Paris Saint-Germain,FC Metz,5 - 0
380,38,21/05/2022 21:00,Stade Auguste Delaune,Stade de Reims,OGC Nice,2 - 3
